,Actual Cash Value,Body Style,Closing Date,Color,Cylinders,Drive,Engine,Fuel,Keys,Location,Odometer,Offer Ends in,Primary Damage,Repair Cost,Runs & Drive:,Sale Date,Sale Status,Secondary Damage,Special Note,Title State/Type,VIN,bid
Salvage-2005-Saturn-VUE-for-Sale,"$ 3,970 USD",4dr sport,Virtual Sale date not set,Blue,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,IN - INDIANAPOLIS,164255 ACTUAL,,Front end,"$ 6,718 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,5GZCZ534X5S818151  Get instaVIN history report,
Salvage-2014-Ford-EDGE+SEL-for-Sale,"$ 11,640 USD",4dr sport,Virtual Sale date not set,Orange,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,MN - ST. CLOUD,118467 ACTUAL,,Front end,"$ 6,864 USD",Run & drive verified,Future Sale,Pure sale,Rear end,,ND SALVAGE TITLE,2FMDK4JC9EBA66236  Get instaVIN history report,
Salvage-2004-Nissan-MAXIMA+SE-for-Sale,"$ 2,200 CAD",Sedan 4 door,,Beige,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,ATLANTIC CANADA AUCTION,292362 ACTUAL,,Front end,"$ 3,381 CAD",Run & drive verified,Future Sale,Pure sale,,,NB SALVAGE TITLE,1N4BA41E84C898980  Get instaVIN history report,
Salvage-2017-Jeep-RENEGADE+T-for-Sale,"$ 19,976 USD",4dr sport,Virtual Sale date not set,White,4,FOUR BY FOUR,2.4L 4,Gasoline,YES,CO - DENVER,13244 ACTUAL,,Hail,"$ 14,287 USD",Run & drive verified,Future Sale,Pure sale,,,CO CLEAN TITLE,ZACCJBCB9HPE90737  Get instaVIN history report,
Salvage-2004-Ford-EXPLORER+X-for-Sale,"$ 2,123 USD",4dr sport,Virtual Sale date not set,Blue,6,REAR-WHEEL DRIVE,4.0L 6,Flexible fuel,YES,GA - ATLANTA SOUTH,204677 ACTUAL,,Front end,"$ 4,300 USD",Unknown,Future Sale,On minimum bid,,,GA SALVAGE TITLE,1FMZU62KX4UA08467  Get instaVIN history report,
Salvage-2012-Hyundai-SONATA+GLS-for-Sale,"$ 5,945 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,MN - MINNEAPOLIS NORTH,110220 ACTUAL,,Rear end,"$ 7,307 USD",Run & drive verified,Future Sale,Pure sale,Hail,,GA SALVAGE TITLE,5NPEB4AC2CH407633  Get instaVIN history report,
Salvage-2015-Hyundai-ACCENT+GS-for-Sale,"$ 7,520 USD",Hatchback,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,NC - RALEIGH,90068 ACTUAL,,Water/flood,"$ 7,498 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,KMHCT5AE1FU224080  Get instaVIN history report,
Salvage-2008-Toyota-HIGHLANDER-for-Sale,"$ 8,031 USD",4dr sport,Virtual Sale date not set,Green,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,NO,GA - ATLANTA SOUTH,0 EXEMPT,,Front end,"$ 10,134 USD",Unknown,Future Sale,On minimum bid,Rear end,,GA SALVAGE TITLE,JTEDS43A782021530  Get instaVIN history report,
Salvage-2009-Volkswagen-ROUTAN+SE-for-Sale,,Sports van,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.8L 6,Gasoline,YES,MA - NORTH BOSTON,143134 ACTUAL,,Mechanical,,Run & drive verified,Future Sale,On approval,Minor dent/scratches,,MA CLEAN TITLE,2V8HW34189R517513  Get instaVIN history report,
Salvage-2010-Honda-ACCORD+EXL-for-Sale,"$ 7,750 USD",Coupe,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,MA - NORTH BOSTON,132538 ACTUAL,,Front end,"$ 6,472 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,MA SALVAGE TITLE,1HGCS1B80AA011335  Get instaVIN history report,
Salvage-2006-Ford-EXPLORER+E-for-Sale,"$ 7,483 USD",4dr sport,Virtual Sale date not set,Burn,8,REAR-WHEEL DRIVE,4.6L 8,Gasoline,NO,GA - ATLANTA SOUTH,0 EXEMPT,,Burn,"$ 7,093 USD",Unknown,Future Sale,Pure sale,Burn - engine,,GA STOLEN/UNRECOVERED,1FMEU64826UA99706  Get instaVIN history report,
Salvage-2010-Mazda-CX-7-for-Sale,"$ 6,315 USD",4dr sport,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,NC - RALEIGH,111775 ACTUAL,,Rear end,"$ 4,706 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,NC SALVAGE CERTIFICATE,JM3ER2W55A0320756  Get instaVIN history report,
Salvage-1999-Pontiac-GRAND+AM+G-for-Sale,$ 150 USD,Sedan 4 door,Virtual Sale date not set,Black,6,FRONT-WHEEL DRIVE,3.4L 6,Gasoline,YES,MN - MINNEAPOLIS NORTH,197225 EXEMPT,,Normal wear,,Run & drive verified,Future Sale,On approval,,VEHICLE LOC @ U PULL R PART,WI CLEAN TITLE,1G2NW52E3XM913577  Get instaVIN history report,
Salvage-2011-Ford-FIESTA+SES-for-Sale,"$ 5,234 USD",Hatchback,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,IN - INDIANAPOLIS,117294 ACTUAL,,Front end,"$ 3,682 USD",Unknown,Future Sale,Pure sale,Minor dent/scratches,,IN SALVAGE TITLE,3FADP4FJ6BM134943  Get instaVIN history report,
Salvage-2011-Mitsubishi-OUTLANDER-for-Sale,"$ 7,266 USD",4dr sport,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,NO,AR - LITTLE ROCK,0 NOT ACTUAL,,Front end,"$ 10,534 USD",Unknown,Future Sale,Pure sale,Side,,AR SALVAGE TITLE,JA4AP3AU1BZ019247  Get instaVIN history report,
Salvage-2014-Chevrolet-MALIBU+2LT-for-Sale,"$ 10,866 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.5L 4,Gasoline,YES,TX - EL PASO,63971 ACTUAL,,Front end,"$ 8,430 USD",Run & drive verified,Future Sale,Pure sale,,,NM SALVAGE TITLE,1G11E5SL2EF192626  Get instaVIN history report,
Salvage-2014-Honda-CIVIC+EX-for-Sale,"$ 12,451 USD",Sedan 4 door,09/18/2019 at 11.30 AM CDT,White,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,AL - TANNER,53916 ACTUAL,,Front end,"$ 9,243 USD",Run & drive verified,09/18/2019 at 12.00 PM CDT,On minimum bid,,,AL SALVAGE TITLE,19XFB2F8XEE017058  Get instaVIN history report,
Salvage-2012-Cadillac-ESCALADE+E-for-Sale,"$ 22,082 USD",4dr sport,Virtual Sale date not set,Black,8,ALL WHEEL DRIVE,6.2L 8,Flexible fuel,YES,NC - RALEIGH,129432 ACTUAL,,Water/flood,"$ 24,824 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,SC FLOOD - SALVAGE,1GYS4JEF0CR248145  Get instaVIN history report,
Salvage-2015-KIA-OPTIMA+HYBRID-for-Sale,"$ 14,750 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,2.4L 4,Hybrid,YES,NC - RALEIGH,59060 ACTUAL,,Water/flood,"$ 7,889 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,NC WATER/FLOOD DAMAGE,KNAGM4ADXF5077351  Get instaVIN history report,
Salvage-2006-Volkswagen-JETTA+TDI-for-Sale,"$ 3,854 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,1.9L 4,Diesel,YES,TX - EL PASO,200647 EXEMPT,,Side,,Unknown,Future Sale,On minimum bid,Rear end,,NM SALVAGE TITLE,3VWST71K86M845013  Get instaVIN history report,
Salvage-2004-GMC-YUKON+XL+D-for-Sale,"$ 5,546 USD",4dr sport,Virtual Sale date not set,White,8,ALL WHEEL DRIVE,6.0L 8,Gasoline,YES,NC - MOCKSVILLE,0 EXEMPT,,Front end,"$ 5,044 USD",Unknown,Future Sale,On minimum bid,,,NC PARTS ONLY,1GKFK66U74J108976  Get instaVIN history report,
Salvage-1996-Toyota-COROLLA+DX-for-Sale,,Sedan 4 door,Virtual Sale date not set,Red,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,MI - DETROIT,254624 EXEMPT,,Front end,,Run & drive verified,Future Sale,On approval,Side,,MI CLEAN TITLE,1NXBB02E6TZ380028  Get instaVIN history report,
Salvage-2013-KIA-SOUL-for-Sale,"$ 7,491 USD",4dr sport,Virtual Sale date not set,Green,4,FRONT-WHEEL DRIVE,1.6L 4,Gasoline,YES,NC - RALEIGH,57309 ACTUAL,,Front end,"$ 6,764 USD",Run & drive verified,Future Sale,Pure sale,,VEH LOC @ CONVERSE SUB LOT,SC SALVAGE TITLE,KNDJT2A5XD7628758  Get instaVIN history report,
Salvage-2004-Isuzu-RODEO+S-for-Sale,"$ 2,500 USD",4dr sport,09/10/2019 at 09.00 AM EDT,Black,6,REAR-WHEEL DRIVE,3.2L 6,Gasoline,YES,GA - ATLANTA SOUTH,243255 ACTUAL,,Front end,"$ 3,389 USD",Run & drive verified,09/10/2019 at 10.00 AM EDT,On minimum bid,,,GA SALVAGE TITLE,4S2CK58WX44315341  Get instaVIN history report,
Salvage-2014-Smart-FORTWO+PUR-for-Sale,"$ 5,938 USD",Coupe,Virtual Sale date not set,White,3,REAR-WHEEL DRIVE,1.0L 3,Gasoline,YES,GA - ATLANTA EAST,0 NOT ACTUAL,,Front end,"$ 4,429 USD",Unknown,Future Sale,Pure sale,,,GA SALVAGE TITLE,WMEEJ3BA7EK769960  Get instaVIN history report,
Salvage-2015-Nissan-PATHFINDER-for-Sale,"$ 16,863 USD",4dr sport,Virtual Sale date not set,Black,6,FOUR BY FOUR,3.5L 6,Gasoline,YES,CO - DENVER,44074 ACTUAL,,Front end,"$ 11,596 USD",Run & drive verified,Future Sale,Pure sale,,,CO CLEAN TITLE,5N1AR2MM5FC632191  Get instaVIN history report,
Salvage-2012-Nissan-VERSA+S-for-Sale,"$ 4,699 USD",Hatchback,09/10/2019 at 11.30 AM CDT,Gray,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,TX - CORPUS CHRISTI,103232 ACTUAL,,Side,"$ 5,019 USD",Unknown,09/10/2019 at 12.00 PM CDT,On minimum bid,,,TX NONREPAIRABLE VEH/TL/KILLS/VIN,3N1BC1CP1CL374173  Get instaVIN history report,
Salvage-2014-Ford-FOCUS+SE-for-Sale,"$ 9,195 USD",Sedan 4 door,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,CO - COLORADO SPRINGS,44258 ACTUAL,,Hail,"$ 5,076 USD",Run & drive verified,Future Sale,On minimum bid,,VEH LOC @ CLOUD SUBLOT,CO CLEAN TITLE,1FADP3F2XEL286782  Get instaVIN history report,
Salvage-2006-Toyota-4RUNNER+SR-for-Sale,"$ 10,860 USD",4dr sport,Virtual Sale date not set,Silver,6,ALL WHEEL DRIVE,4.0L 6,Gasoline,YES,IN - INDIANAPOLIS,90112 ACTUAL,,Front end,"$ 7,637 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,JTEBU14R468074118  Get instaVIN history report,
Salvage-2005-Chevrolet-IMPALA-for-Sale,"$ 2,531 USD",Sedan 4 door,Virtual Sale date not set,Tan,6,FRONT-WHEEL DRIVE,3.4L 6,Gasoline,YES,GA - ATLANTA SOUTH,220990 EXEMPT,,Front end,"$ 2,906 USD",Run & drive verified,Future Sale,Pure sale,Minor dent/scratches,,GA SALVAGE TITLE,2G1WF52E659138954  Get instaVIN history report,
Salvage-2012-Dodge-CHALLENGER-for-Sale,"$ 15,995 USD",Coupe,Virtual Sale date not set,Black,8,REAR-WHEEL DRIVE,5.7L 8,Gasoline,YES,TX - EL PASO,89802 ACTUAL,,Rear end,"$ 9,144 USD",Vehicle Starts,Future Sale,Pure sale,,,NM SALVAGE TITLE,2C3CDYBT0CH280109  Get instaVIN history report,
Salvage-2017-Dodge-JOURNEY+SE-for-Sale,"$ 14,607 USD",4dr sport,Virtual Sale date not set,Gray,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,MO - ST. LOUIS,19042 ACTUAL,,Rear end,,Run & drive verified,Future Sale,Pure sale,,,MO SALVAGE CERTIFICATE,3C4PDCAB7HT708474  Get instaVIN history report,
Salvage-2001-Subaru-LEGACY+OUTBACK-for-Sale,"$ 2,946 USD",Station,Virtual Sale date not set,Blue,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,WA - NORTH SEATTLE,170349 EXEMPT,,Front end,"$ 5,704 USD",Vehicle Starts,Future Sale,On minimum bid,,,WA BILL OF SALE,4S3BH665X16647558  Get instaVIN history report,
Salvage-2004-Acura-MDX-for-Sale,"$ 4,710 USD",4dr sport,Virtual Sale date not set,Gray,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,YES,CO - DENVER,190887 EXEMPT,,Front end,"$ 4,710 USD",Unknown,Future Sale,Pure sale,,,CO SALVAGE TITLE,2HNYD18264H546705  Get instaVIN history report,
Salvage-2001-Ford-ESCAPE+XLT-for-Sale,"$ 2,800 USD",4dr sport,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.0L 6,Gasoline,YES,WV - CHARLESTON,148609 ACTUAL,,Front end,"$ 2,142 USD",Run & drive verified,Future Sale,On minimum bid,,,WV BILL OF SALE,1FMYU03131KF77246  Get instaVIN history report,
Salvage-2012-Dodge-AVENGER+SE-for-Sale,"$ 4,014 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,NC - CHINA GROVE,138491 NOT ACTUAL,,Rear end,,Vehicle Starts,Future Sale,Pure sale,Front end,,NC SALVAGE CERTIFICATE,1C3CDZAB5CN323123  Get instaVIN history report,
Salvage-2014-Chevrolet-CRUZE-for-Sale,"$ 9,020 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,2.0L 4,Diesel,YES,SC - NORTH CHARLESTON,125995 ACTUAL,,Front end,,Unknown,Future Sale,Pure sale,,,SC SALVAGE TITLE,1G1P75SZ5E7203427  Get instaVIN history report,
Salvage-2012-Chevrolet-CRUZE+LT-for-Sale,"$ 6,875 USD",Sedan 4 door,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,NO,MI - DETROIT,0 NOT ACTUAL,,Front end,"$ 17,808 USD",Unknown,Future Sale,Pure sale,Side,,OH CLEAN TITLE,1G1PF5SC6C7119984  Get instaVIN history report,
Salvage-2008-Ford-EXPLORER+E-for-Sale,"$ 7,607 USD",4dr sport,Virtual Sale date not set,White,6,REAR-WHEEL DRIVE,4.0L 6,Gasoline,YES,NC - RALEIGH,130653 ACTUAL,,Front end,"$ 7,274 USD",Unknown,Future Sale,Pure sale,Undercarriage,,SC SALVAGE TITLE,1FMEU64E58UA77210  Get instaVIN history report,
Salvage-2013-Dodge-DART+SXT-for-Sale,"$ 6,624 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,MI - DETROIT,102228 ACTUAL,,Front end,"$ 10,977 USD",Vehicle Starts,Future Sale,Pure sale,,,OH CLEAN TITLE,1C3CDFBA1DD307853  Get instaVIN history report,
Salvage-2018-Chevrolet-MALIBU+LT-for-Sale,"$ 17,011 USD",Sedan 4 door,Virtual Sale date not set,White,4,FRONT-WHEEL DRIVE,1.5L 4,Gasoline,NO,MN - MINNEAPOLIS,0 NOT ACTUAL,,Front end,"$ 19,166 USD",Unknown,Future Sale,Pure sale,Rear end,,MN SALVAGE TITLE,1G1ZD5ST2JF142728  Get instaVIN history report,
Salvage-2014-Hyundai-SANTA+FE+S-for-Sale,"$ 18,204 CAD",4dr sport,,Black,4,ALL WHEEL DRIVE,2.4L 4,Gasoline,YES,ATLANTIC CANADA AUCTION,107743 ACTUAL,,Front end,"$ 14,893 CAD",Run & drive verified,Future Sale,Pure sale,,,NB SALVAGE TITLE,5XYZUDLB2EG128418  Get instaVIN history report,
Salvage-2005-Chevrolet-TRAILBLAZER-for-Sale,"$ 2,879 USD",4dr sport,Virtual Sale date not set,White,6,FOUR BY FOUR,4.2L 6,Gasoline,YES,NC - CHINA GROVE,242890 ACTUAL,,Rear end,"$ 5,796 USD",Run & drive verified,Future Sale,On approval,Undercarriage,,NC BILL OF SALE,1GNET16S456204811  Get instaVIN history report,
Salvage-2012-Dodge-AVENGER+SX-for-Sale,"$ 6,317 USD",Sedan 4 door,Virtual Sale date not set,Silver,4,FRONT-WHEEL DRIVE,2.4L 4,Gasoline,YES,IN - INDIANAPOLIS,89487 ACTUAL,,Front end,"$ 6,317 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1C3CDZCB1CN156224  Get instaVIN history report,
Salvage-2001-Acura-MDX-for-Sale,"$ 2,779 USD",4dr sport,Virtual Sale date not set,Silver,6,ALL WHEEL DRIVE,3.5L 6,Gasoline,NO,NC - CHINA GROVE,0 EXEMPT,,Side,"$ 6,372 USD",Unknown,Future Sale,On approval,Undercarriage,,NC BILL OF SALE,2HNYD18291H511927  Get instaVIN history report,
Salvage-2012-Chevrolet-CRUZE+LS-for-Sale,"$ 6,540 USD",Sedan 4 door,Virtual Sale date not set,Green,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,IN - INDIANAPOLIS,0 NOT ACTUAL,,Front end,"$ 6,540 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G1PC5SH7C7321883  Get instaVIN history report,
Salvage-2017-Toyota-RAV4+LIMITED-for-Sale,"$ 25,782 USD",4dr sport,09/13/2019 at 09.00 AM EDT,Red,4,ALL WHEEL DRIVE,2.5L 4,Gasoline,YES,MA - NORTH BOSTON,24818 ACTUAL,,Front end,"$ 16,115 USD",Run & drive verified,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,2T3DFREV5HW641242  Get instaVIN history report,
Salvage-2012-Chevrolet-CRUZE+LT-for-Sale,"$ 7,356 USD",Sedan 4 door,Virtual Sale date not set,Cream,4,FRONT-WHEEL DRIVE,1.4L 4,Gasoline,YES,MA - NORTH BOSTON,68078 ACTUAL,,Front end,"$ 8,133 USD",Vehicle Starts,Future Sale,Pure sale,Minor dent/scratches,,MA SALVAGE TITLE,1G1PF5SC3C7252315  Get instaVIN history report,
Salvage-2002-Ford-ESCAPE+XLS-for-Sale,"$ 2,335 USD",4dr sport,Virtual Sale date not set,Blue,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,LA - NEW ORLEANS,218271 EXEMPT,,Front end,"$ 1,874 USD",Vehicle Starts,Future Sale,Pure sale,Mechanical,,MS SALVAGE TITLE,1FMYU01B72KC15725  Get instaVIN history report,
Salvage-2010-Toyota-COROLLA+BA-for-Sale,"$ 7,504 CAD",Sedan 4 door,,Gray,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,ATLANTIC CANADA AUCTION,91437 ACTUAL,,Front end,"$ 6,015 CAD",Run & drive verified,Future Sale,Pure sale,Rear end,,NB CLEAN TITLE,2T1BU4EE8AC206523  Get instaVIN history report,
Salvage-2017-Buick-LACROSSE+P-for-Sale,"$ 24,153 USD",Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.6L 6,Gasoline,YES,IN - INDIANAPOLIS,20025 ACTUAL,,Front end,"$ 20,213 USD",Run & drive verified,Future Sale,Pure sale,,,IN SALVAGE TITLE,1G4ZR5SS4HU174033  Get instaVIN history report,
Salvage-2005-Buick-CENTURY-for-Sale,"$ 1,925 USD",Sedan 4 door,Virtual Sale date not set,Gray,6,FRONT-WHEEL DRIVE,3.1L 6,Gasoline,YES,TX - AMARILLO,111151 EXEMPT,,Front end,"$ 2,337 USD",Vehicle Starts,Future Sale,On minimum bid,,,TX SALVAGE VEHICLE TITLE,2G4WS52J451108846  Get instaVIN history report,
Salvage-2017-Nissan-SENTRA+S-for-Sale,"$ 11,661 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,TX - SAN ANTONIO,35154 ACTUAL,,Front end,"$ 11,838 USD",Run & drive verified,Future Sale,Pure sale,,,TX SALVAGE VEHICLE TITLE,3N1AB7AP4HY351968  Get instaVIN history report,
Salvage-1999-Oldsmobile-INTRIGUE+G-for-Sale,"$ 3,089 USD",Sedan 4 door,Virtual Sale date not set,White,6,FRONT-WHEEL DRIVE,3.5L 6,Gasoline,YES,MO - ST. LOUIS,129191 ACTUAL,,Front end,,Vehicle Starts,Future Sale,Pure sale,Undercarriage,,MO CLEAN TITLE,1G3WX52H0XF367588  Get instaVIN history report,
Salvage-2003-Toyota-COROLLA+CE-for-Sale,"$ 4,043 USD",Sedan 4 door,Virtual Sale date not set,Black,4,FRONT-WHEEL DRIVE,1.8L 4,Gasoline,YES,SC - COLUMBIA,102518 EXEMPT,,Side,"$ 5,131 USD",Run & drive verified,Future Sale,Pure sale,,VEHICLE LOC@ PINE PLAINS LOT,SC SALVAGE TITLE,1NXBR32E23Z108735  Get instaVIN history report,
Salvage-2003-Acura-3.2CL-for-Sale,"$ 3,544 USD",Coupe,Virtual Sale date not set,Gold,6,FRONT-WHEEL DRIVE,3.2L 6,Gasoline,YES,MA - WEST WARREN,128309 EXEMPT,,Front end,"$ 12,690 USD",Vehicle Starts,Future Sale,On minimum bid,,,MA RECONSTRUCTED PREV SALVAGE,19UYA42473A011522  Get instaVIN history report,
Salvage-2009-Audi-A4+PRESTIGE-for-Sale,"$ 6,114 USD",Sedan 4 door,Virtual Sale date not set,Black,4,ALL WHEEL DRIVE,2.0L 4,Gasoline,YES,IN - INDIANAPOLIS,92493 ACTUAL,,Front end,"$ 7,795 USD",Unknown,Future Sale,Pure sale,,,IN SALVAGE TITLE,WAUMF78KX9N045605  Get instaVIN history report,
Salvage-2013-Ford-FOCUS+ST-for-Sale,"$ 11,828 USD",Hatchback,09/13/2019 at 09.00 AM EDT,Black,4,FRONT-WHEEL DRIVE,2.0L 4,Gasoline,YES,MA - NORTH BOSTON,0 NOT ACTUAL,,Front end,"$ 13,654 USD",Unknown,09/13/2019 at 10.00 AM EDT,On minimum bid,Minor dent/scratches,,MA SALVAGE TITLE,1FADP3L90DL154825  Get instaVIN history report,
